Locus	Comment
Rv0031	remnant of A transposase
Rv0094c	50bp_duplicated
Rv0095c	50bp_duplicated
Rv0096	PPE family protein
Rv0109	PE-PGRS family protein
Rv0124	PE-PGRS family protein
Rv0151c	PE family protein
Rv0152c	PE family protein
Rv0159c	PE family protein
Rv0160c	PE family protein
Rv0256c	PPE family protein
Rv0257	50bp_duplicated
Rv0277c	50bp_duplicated
Rv0278c	PE-PGRS family protein
Rv0279c	PE-PGRS family protein
Rv0280	PPE family protein
Rv0285	PE family protein
Rv0286	PPE family protein
Rv0297	PE-PGRS family protein
Rv0304c	PPE family protein
Rv0305c	PPE family protein
Rv0335c	PE family protein
Rv0336	50bp_duplicated
Rv0353	50bp_duplicated
Rv0354c	PPE family protein
Rv0355c	PPE family protein
Rv0387c	PPE family protein
Rv0388c	PPE family protein
Rv0393	50bp_duplicated
Rv0397	50bp_duplicated
Rv0442c	PPE family protein
Rv0453	PPE family protein
Rv0487	50bp_duplicated
Rv0490	50bp_duplicated
Rv0515	50bp_duplicated
Rv0532	PE-PGRS family protein
Rv0538	50bp_duplicated
Rv0578c	PE-PGRS family protein
Rv0605	repeat_region
Rv0605	resolvase
Rv0740	50bp_duplicated
Rv0741	transposase
Rv0742	PE-PGRS family protein
Rv0746	PE-PGRS family protein
Rv0747	PE-PGRS family protein
Rv0750	50bp_duplicated
Rv0754	PE-PGRS family protein
Rv0755A	transposase
Rv0755c	PPE family protein
Rv0795	transposase IS6110
Rv0796	transposase IS6110
Rv0797	50bp_duplicated
Rv0814c	50bp_duplicated
Rv0823c	50bp_duplicated
Rv0829	50bp_duplicated
Rv0832	PE-PGRS family protein
Rv0833	PE-PGRS family protein
Rv0834c	PE-PGRS family protein
Rv0850	transposase
Rv0867c	50bp_duplicated
Rv0872c	PE-PGRS family protein
Rv0878c	PPE family protein
Rv0915c	PPE family protein
Rv0916c	PE family protein
Rv0920c	transposase
Rv0921	resolvase
Rv0922	transposase
Rv0977	PE-PGRS family protein
Rv0978c	PE-PGRS family protein
Rv0980c	PE-PGRS family protein
Rv1034c	transposase
Rv1035c	transposase
Rv1036c	truncated IS1560 transposase
Rv1037c	50bp_duplicated
Rv1038c	50bp_duplicated
Rv1039c	PPE family protein
Rv1040c	PE family protein
Rv1041c	IS like-2 transposase
Rv1042c	IS like-2 transposase
Rv1047	transposase
