chrom	chromStart	chromEnd	locus tag							
NC_000962	5240	7267	Rv0005									
NC_000962	7302	9818	Rv0006									
NC_000962	490783	491793	Rv0407									
NC_000962	575348	576790	Rv0486									
NC_000962	731930	732406	Rv0635									
NC_000962	759807	763325	Rv0667									
NC_000962	775586	778480	Rv0676c									
NC_000962	778477	778905	Rv0677c									
NC_000962	778990	779487	Rv0678									
NC_000962	781560	781934	Rv0682									
NC_000962	800809	801462	Rv0701									
NC_000962	1302931	1305501	Rv1137									
NC_000962	1406081	1407340	Rv1258c									
NC_000962	1461045	1461290	Rv1305									
NC_000962	1471846	1473382	rrs									
NC_000962	1473658	1476495	rrl									
NC_000962	1673339	1673439	fabG11/inhA promoter							
NC_000962	1673440	1674183	Rv1483									
NC_000962	1674202	1675011	Rv1484									
NC_000962	1917940	1918746	Rv1694									
NC_000962	1929786	1931456	Rv1704c									
NC_000962	2153889	2156111	Rv1908c									
NC_000962	2156149	2156592	Rv1909c									
NC_000962	2231680	2232219	Rv1988									
NC_000962	2288681	2289241	Rv2043c									
NC_000962	2289242	2289281	pncA promoter								
NC_000962	2714124	2715332	Rv2416c									
NC_000962	2715333	2715383	eis promoter								
NC_000962	2726193	2726780	Rv2428									
NC_000962	2725992	2726192	ahpC promoter								
NC_000962	2746135	2747598	Rv2447c									
NC_000962	2986839	2987615	Rv2671									
NC_000962	3073130	3073609	Rv2763c									
NC_000962	3073680	3074471	Rv2764c									
NC_000962	3568401	3568679	Rv3197A									
NC_000962	3568680	3569108	whiB7 promoter								
NC_000962	3640543	3641538	Rv3261									
NC_000962	3641535	3642881	Rv3262									
NC_000962	3986844	3987299	Rv3547									
NC_000962	4237932	4239863	Rv3792									
NC_000962	4239863	4243147	Rv3793									
NC_000962	4243233	4246517	Rv3794									
NC_000962	4246514	4249810	Rv3795									
NC_000962	4268925	4269833	Rv3806c									
NC_000962	4326004	4327473	Rv3854c									
NC_000962	4407528	4408202	Rv3919c												 
